Host: p4benchmark.redis.cache.windows.net
Start time: 3/14/2019 3:34:38 PM

Median Latency (ms), Avg Latency (ms), Throughput (bytes/sec)
6743, 6634.41458939382, 13630927.74
8828, 4569.77880891727, 15279911.24
12965, 7134.08333425562, 16530400.15
21646, 7289.18513354234, 16157163.89
26977, 6543.39888794517, 16144590.16

CPU %, Memory (MB)
100, 89
63.72, 111
65.9, 159
67.03, 216
60.5, 216
41.86, 237
68.87, 316
59.5, 309
48.49, 267
61.88, 253
68.53, 334
56.75, 331
52.96, 368
56.99, 388
72.56, 366
59.45, 419
53.92, 361
70.38, 347
71.22, 413
57.88, 409
61.04, 369
49.84, 430
51.2, 494
66.02, 475
59.69, 420
27.75, 438
65.89, 540
70.49, 468
66.33, 407
71.95, 363
71.33, 449
66.58, 441
67.03, 429
63.75, 525
79.44, 571
66.79, 447
67.75, 459
66.05, 478
61.77, 677
77.71, 683
74.17, 764
70.47, 619
64.05, 697
70.27, 803
77.38, 785
70.08, 873
69.32, 539
67.95, 564
65.58, 651
74.88, 718
73.51, 764
68.9, 558
71.04, 581
62.6, 763
68.2, 878
67.41, 885
76.47, 900
65.49, 672
69.79, 734
58.03, 942
68.89, 947
79.9, 977
69.56, 1051
62.93, 1177
69.63, 971
75.02, 1087
72.6, 1062
73.74, 1144
73.07, 1219
70.15, 891
61.22, 1039
55.71, 1207
74.36, 1289
74.44, 1346
72.94, 1029
59.39, 1159
60.2, 1226
63.65, 1355
67.17, 1239
60.84, 1297
62.87, 1457
61.93, 1226
62.59, 1321
70.02, 1446
66.6, 1451
78.89, 1484
57.34, 1632
73.03, 1426
55.48, 1439
63.84, 1529
58.96, 1680
57.69, 1741
54.99, 1634
61.28, 1590
66.37, 1631
77.53, 1639
65.7, 1758
67.24, 1662
65.26, 1658
62.79, 1738
60.68, 1618
65.41, 1656
59.51, 1810
65.76, 1796
63.57, 1885
76.72, 1728
71.66, 1812
71.9, 1819
64.25, 1928
65.93, 1895
63.21, 1850
71.34, 1898
61.85, 2021
69.19, 1935
71.98, 1976
66.17, 2075
69, 1848
59.63, 1906
66.76, 1993
65.15, 1947
59.81, 2034
57.9, 2153
69.46, 1877
65.12, 1920
61.77, 2027
64.7, 2048
61.72, 2138
75.24, 2208
66.96, 2070
62.88, 2117
63.96, 2232
71.63, 2176
64.84, 2259
71.81, 2162
63.71, 2255
68, 2343
69.55, 2182
62.06, 2290
72.63, 2234
68.41, 2377
71.58, 2234
61.77, 2363
64.78, 2508
59.63, 2348
63.08, 2452
68.78, 2328
62.86, 2457
70.11, 2401
61.94, 2515
68.04, 2414
62.83, 2535
67.65, 2440
64.58, 2540
62.35, 2625
68.85, 2476
67.89, 2579
65.1, 2523
63.12, 2622
66.7, 2490
60.23, 2575
67.36, 2558
66.78, 2651
67.33, 2695
63.97, 2763
60.21, 2561
64.07, 2646
60.83, 2761
65.04, 2812
67.77, 2921
62.32, 2712
60.61, 2871
70.42, 2778
58.78, 2881
66.65, 2947
64.78, 3073
64.15, 2791
63.24, 2837
65.52, 2939
61.03, 2933
68.13, 3026
66.69, 3091
61.39, 1682
63.05, 1828
70.61, 1900
66.51, 2018
67.2, 2116

